Date,Open,High,Low,Close,Adj Close,Volume
2020-04-14,101.220001,101.790001,99.830002,101.199997,99.973709,5013600
2020-04-15,97.360001,98.160004,95.860001,97.320000,96.140732,7727300
2020-04-16,98.110001,98.190002,95.470001,95.699997,94.540352,7944400
2020-04-17,97.860001,103.550003,97.839996,103.330002,102.077911,9559900
2020-04-20,102.050003,103.059998,101.519997,101.540001,100.309593,4729700
2020-04-21,99.500000,100.680000,97.300003,97.610001,96.427216,5472900
2020-04-22,98.570000,98.589996,93.720001,96.080002,94.915756,7696500
2020-04-23,96.500000,97.440002,95.739998,95.830002,94.668785,5854900
2020-04-24,97.599998,99.529999,96.500000,99.300003,98.096741,4631500
2020-04-27,100.029999,101.480003,99.250000,100.760002,99.539047,5019000
2020-04-28,102.360001,102.489998,97.820000,98.040001,96.852005,4501000
2020-04-29,99.500000,100.790001,98.730003,99.139999,97.938675,5393600
2020-04-30,98.129997,99.440002,96.849998,97.629997,96.446976,5497000
2020-05-01,97.000000,97.180000,94.599998,95.139999,93.987144,4172000
2020-05-04,94.529999,95.699997,93.610001,95.260002,94.105690,4717600
2020-05-05,96.790001,98.919998,96.680000,97.900002,96.713699,4200200
2020-05-06,98.309998,98.739998,96.570000,96.760002,95.587517,3605900
2020-05-07,98.379997,99.750000,97.839996,98.940002,97.741104,4403500
2020-05-08,100.419998,100.650002,98.129997,99.029999,97.830009,4278500
2020-05-11,97.839996,99.309998,96.959999,98.739998,97.543518,3489500
2020-05-12,99.099998,99.260002,95.169998,95.199997,94.046417,4411800
2020-05-13,95.000000,95.430000,92.980003,93.279999,92.149689,7111000
2020-05-14,92.199997,93.879997,89.650002,93.820000,92.683144,6355800
2020-05-15,92.980003,94.230003,92.000000,93.889999,92.752296,8591500
2020-05-18,96.820000,100.150002,96.550003,98.900002,97.701584,7047500
2020-05-19,99.000000,99.879997,96.949997,97.029999,95.854248,4801700
2020-05-20,97.889999,99.190002,96.949997,98.080002,96.891525,4270900
2020-05-21,95.099998,97.300003,94.070000,95.410004,94.253883,7021400
2020-05-22,95.519997,95.879997,92.790001,94.720001,93.572243,6518300
2020-05-26,97.580002,98.089996,94.820000,97.150002,95.972794,7086300
2020-05-27,97.430000,98.139999,94.910004,96.000000,94.836723,6163700
2020-05-28,97.519997,99.730003,97.199997,98.139999,96.950790,5444200
2020-05-29,99.099998,99.099998,96.220001,98.580002,97.385460,8961700
2020-06-01,97.730003,98.500000,96.910004,97.110001,95.933281,4860000
2020-06-02,97.199997,97.669998,96.470001,97.250000,96.071579,8363300
2020-06-03,97.510002,98.040001,96.970001,97.099998,95.923393,7508900
2020-06-04,96.750000,97.669998,96.419998,96.989998,95.814728,8785200
2020-06-05,98.750000,103.080002,98.070000,102.040001,100.803535,10060400
2020-06-08,101.720001,103.230003,100.860001,101.330002,100.102142,6929600
2020-06-09,102.010002,103.059998,99.000000,99.110001,97.909042,5622500
2020-06-10,99.209999,99.669998,97.150002,97.550003,96.367950,6098300
2020-06-11,95.849998,95.919998,90.790001,90.870003,89.768890,8829600
2020-06-12,93.849998,95.300003,91.750000,93.209999,92.080536,7333400
2020-06-15,91.370003,94.000000,90.680000,93.620003,92.485573,6026000
2020-06-16,96.500000,96.900002,94.629997,95.550003,94.392181,6500100
2020-06-17,95.650002,96.489998,95.000000,95.480003,94.323029,5360900
2020-06-18,94.739998,95.570000,93.949997,94.430000,93.285751,3692600
2020-06-19,96.040001,96.379997,93.339996,93.910004,92.772057,7084200
2020-06-22,93.029999,93.720001,91.690002,93.330002,92.199081,5370200
2020-06-23,94.379997,95.129997,93.290001,93.389999,92.258354,5160200
2020-06-24,92.510002,92.610001,88.870003,88.930000,87.852394,10928600
2020-06-25,88.199997,89.080002,87.680000,88.860001,88.359528,5671100
2020-06-26,89.000000,89.599998,88.190002,88.769997,88.270027,9108200
2020-06-29,89.480003,90.300003,88.459999,90.260002,89.751640,5241600
2020-06-30,90.199997,92.169998,89.010002,91.699997,91.183525,5463800
2020-07-01,91.779999,92.730003,91.459999,92.320000,91.800041,4328700
2020-07-02,93.309998,94.419998,92.970001,93.160004,92.635315,3937800
2020-07-06,94.120003,94.820000,92.500000,93.209999,92.685028,4366400
2020-07-07,92.070000,93.089996,91.449997,91.669998,91.153694,4045600
2020-07-08,91.620003,92.010002,90.639999,91.610001,91.094040,3956300
2020-07-09,91.440002,91.790001,89.220001,90.129997,89.622368,4061100
